animal_name,genotype
C9ORF72-GR400-MAT-B6J/2.2c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/3.1c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/3.1c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/3.1e,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/4.1a,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/4.1b,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/7.1e,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/7.1g,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/6.1a,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/6.2a,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/6.2b,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/2.2g,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/2.2i,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/3.2d,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/5.1c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/5.1d,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/4.2a,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/4.2g,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/7.2c,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/7.2e,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-PAT-B6J/7.2g,C9ORF72-GR400-B6J:WT
C9ORF72-GR400-MAT-B6J/2.2d,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/3.1f,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/3.1d,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/3.2b,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/4.2a,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/4.1g,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/5.1e,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/7.1d,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/6.2c,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/7.2b,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/8.1b,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/3.1h,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/3.2e,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/3.2h,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/4.1c,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/4.2f,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/6.1f,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/7.2h,C9ORF72-GR400-B6J:Het
C9ORF72-GR400-PAT-B6J/8.1h,C9ORF72-GR400-B6J:Het
